I 100 1000
N 0 9 10
N 1 9 6
N 2 9 14
N 3 14 12
N 4 8 8
N 5 8 6
N 6 12 16
N 7 8 9
N 8 8 4
N 9 11 8
N 10 13 9
N 11 9 10
N 12 8 9
N 13 11 14
N 14 14 13
N 15 5 16
N 16 13 13
N 17 12 8
N 18 9 10
N 19 12 12
N 20 11 12
N 21 11 7
N 22 12 8
N 23 12 14
N 24 9 7
N 25 10 12
N 26 14 10
N 27 14 6
N 28 12 4
N 29 11 13
N 30 9 9
N 31 9 11
N 32 8 8
N 33 8 7
N 34 11 6
N 35 4 8
N 36 10 12
N 37 8 4
N 38 12 6
N 39 9 8
N 40 10 8
N 41 11 10
N 42 14 13
N 43 9 11
N 44 4 9
N 45 12 12
N 46 10 16
N 47 12 9
N 48 12 9
N 49 11 11
N 50 5 8
N 51 9 14
N 52 12 12
N 53 7 6
N 54 11 13
N 55 4 7
N 56 14 3
N 57 9 11
N 58 11 14
N 59 8 11
N 60 11 6
N 61 11 9
N 62 6 5
N 63 14 14
N 64 12 9
N 65 7 14
N 66 11 10
N 67 5 6
N 68 10 11
N 69 10 12
N 70 14 5
N 71 14 10
N 72 18 8
N 73 9 8
N 74 8 13
N 75 15 17
N 76 10 11
N 77 12 11
N 78 11 15
N 79 2 15
N 80 9 6
N 81 10 11
N 82 6 14
N 83 11 8
N 84 11 8
N 85 8 11
N 86 13 10
N 87 5 11
N 88 11 10
N 89 7 7
N 90 10 13
N 91 16 14
N 92 8 6
N 93 11 17
N 94 12 8
N 95 8 12
N 96 13 11
N 97 8 8
N 98 11 8
N 99 1 12
E 0 11 8
E 0 16 9
E 0 19 6
E 0 21 0
E 0 45 2
E 0 48 0
E 0 66 8
E 0 77 9
E 0 81 1
E 0 98 0
E 1 14 5
E 1 22 0
E 1 30 9
E 1 52 6
E 1 72 1
E 1 77 2
E 2 4 8
E 2 6 0
E 2 10 1
E 2 12 9
E 2 24 3
E 2 48 8
E 2 54 4
E 2 56 8
E 2 58 2
E 2 67 1
E 2 73 3
E 2 80 9
E 2 86 6
E 2 90 0
E 3 6 6
E 3 23 9
E 3 25 9
E 3 38 5
E 3 39 6
E 3 42 1
E 3 48 4
E 3 49 2
E 3 61 2
E 3 69 1
E 3 81 2
E 3 94 9
E 4 10 6
E 4 22 8
E 4 23 2
E 4 24 9
E 4 58 6
E 4 70 8
E 4 77 0
E 4 94 2
E 5 23 9
E 5 45 3
E 5 53 4
E 5 56 6
E 5 67 0
E 5 70 8
E 6 0 7
E 6 2 4
E 6 8 3
E 6 9 0
E 6 10 7
E 6 16 4
E 6 24 3
E 6 31 0
E 6 39 8
E 6 44 6
E 6 53 4
E 6 62 7
E 6 74 6
E 6 75 1
E 6 76 2
E 6 97 6
E 7 4 7
E 7 5 4
E 7 12 2
E 7 16 1
E 7 17 7
E 7 22 0
E 7 56 8
E 7 79 2
E 7 90 4
E 8 42 1
E 8 82 0
E 8 83 5
E 8 85 8
E 9 4 3
E 9 5 7
E 9 34 4
E 9 38 8
E 9 68 3
E 9 69 6
E 9 88 7
E 9 91 1
E 10 14 1
E 10 34 6
E 10 36 3
E 10 38 1
E 10 48 7
E 10 57 5
E 10 73 8
E 10 86 7
E 10 94 3
E 11 1 6
E 11 23 6
E 11 27 6
E 11 29 4
E 11 38 8
E 11 55 9
E 11 59 8
E 11 76 3
E 11 78 6
E 11 85 0
E 12 6 6
E 12 20 0
E 12 27 4
E 12 46 0
E 12 51 1
E 12 56 0
E 12 75 7
E 12 83 0
E 12 96 7
E 13 3 5
E 13 5 9
E 13 6 9
E 13 28 4
E 13 36 0
E 13 49 8
E 13 60 5
E 13 65 9
E 13 68 1
E 13 85 1
E 13 93 9
E 13 95 8
E 13 96 9
E 13 97 5
E 14 5 4
E 14 15 1
E 14 24 3
E 14 28 3
E 14 29 7
E 14 33 7
E 14 38 5
E 14 40 3
E 14 41 2
E 14 52 7
E 14 84 7
E 14 87 5
E 14 91 2
E 15 3 0
E 15 10 9
E 15 16 9
E 15 19 6
E 15 22 4
E 15 26 3
E 15 32 9
E 15 35 0
E 15 71 4
E 15 72 4
E 15 73 5
E 15 75 6
E 15 77 2
E 15 81 8
E 15 95 1
E 15 97 2
E 16 10 7
E 16 19 1
E 16 23 9
E 16 25 4
E 16 28 9
E 16 45 9
E 16 51 8
E 16 53 6
E 16 62 6
E 16 75 8
E 16 77 6
E 16 79 6
E 16 91 0
E 17 7 9
E 17 9 0
E 17 16 1
E 17 20 6
E 17 27 7
E 17 29 1
E 17 69 0
E 17 74 2
E 18 14 6
E 18 20 6
E 18 21 7
E 18 29 6
E 18 42 8
E 18 48 5
E 18 58 6
E 18 62 2
E 18 72 9
E 18 81 1
E 19 4 2
E 19 14 6
E 19 18 8
E 19 24 6
E 19 33 0
E 19 38 3
E 19 45 6
E 19 47 5
E 19 61 8
E 19 67 8
E 19 71 8
E 19 92 2
E 20 1 6
E 20 8 8
E 20 15 9
E 20 38 0
E 20 44 4
E 20 56 5
E 20 58 4
E 20 71 7
E 20 77 0
E 20 78 0
E 20 88 7
E 20 92 3
E 21 20 7
E 21 30 0
E 21 40 7
E 21 51 1
E 21 87 5
E 21 89 1
E 21 91 9
E 22 6 5
E 22 25 1
E 22 26 9
E 22 53 3
E 22 72 2
E 22 81 3
E 22 83 2
E 22 91 8
E 23 9 9
E 23 53 7
E 23 54 0
E 23 56 1
E 23 63 0
E 23 64 0
E 23 68 0
E 23 70 6
E 23 72 4
E 23 78 0
E 23 81 1
E 23 85 0
E 23 86 1
E 23 98 1
E 24 11 5
E 24 17 7
E 24 36 0
E 24 42 1
E 24 66 4
E 24 71 1
E 24 81 5
E 25 2 5
E 25 4 5
E 25 6 8
E 25 7 4
E 25 17 4
E 25 26 1
E 25 30 5
E 25 39 0
E 25 54 0
E 25 76 9
E 25 80 6
E 25 91 7
E 26 27 7
E 26 33 8
E 26 42 7
E 26 52 8
E 26 55 5
E 26 60 6
E 26 64 5
E 26 78 1
E 26 81 9
E 26 88 5
E 27 42 6
E 27 60 4
E 27 62 7
E 27 70 3
E 27 91 0
E 27 93 0
E 28 17 7
E 28 68 9
E 28 71 0
E 28 93 9
E 29 2 9
E 29 18 1
E 29 22 9
E 29 23 9
E 29 33 3
E 29 36 6
E 29 42 7
E 29 46 4
E 29 54 0
E 29 59 2
E 29 69 7
E 29 86 5
E 29 95 4
E 30 7 9
E 30 18 2
E 30 22 4
E 30 41 4
E 30 56 0
E 30 59 0
E 30 71 0
E 30 77 1
E 30 84 9
E 31 0 7
E 31 5 2
E 31 9 2
E 31 33 8
E 31 40 1
E 31 46 1
E 31 58 1
E 31 68 8
E 31 83 9
E 31 95 6
E 31 96 3
E 32 0 0
E 32 6 8
E 32 16 5
E 32 34 3
E 32 44 5
E 32 62 5
E 32 85 8
E 32 94 7
E 33 24 9
E 33 41 0
E 33 44 3
E 33 54 6
E 33 57 8
E 33 78 0
E 33 90 6
E 34 5 4
E 34 15 0
E 34 21 4
E 34 26 2
E 34 46 5
E 34 60 4
E 35 6 9
E 35 29 2
E 35 48 8
E 35 56 3
E 35 60 0
E 35 61 1
E 35 63 3
E 35 92 0
E 36 5 4
E 36 10 5
E 36 19 5
E 36 24 1
E 36 26 6
E 36 41 8
E 36 42 8
E 36 69 4
E 36 74 1
E 36 90 0
E 36 93 6
E 36 96 0
E 37 7 5
E 37 24 4
E 37 29 5
E 37 78 6
E 38 17 2
E 38 29 8
E 38 30 0
E 38 31 1
E 38 69 8
E 38 88 8
E 39 1 4
E 39 21 0
E 39 28 8
E 39 40 4
E 39 42 4
E 39 70 7
E 39 71 6
E 39 76 5
E 40 19 0
E 40 26 4
E 40 41 2
E 40 48 6
E 40 84 3
E 40 88 2
E 40 91 3
E 40 94 6
E 41 6 0
E 41 18 9
E 41 27 9
E 41 37 7
E 41 57 1
E 41 59 7
E 41 64 5
E 41 84 2
E 41 86 0
E 41 92 9
E 42 19 5
E 42 28 3
E 42 30 8
E 42 34 4
E 42 47 5
E 42 49 9
E 42 58 3
E 42 60 0
E 42 80 7
E 42 87 2
E 42 89 9
E 42 93 2
E 42 98 3
E 43 13 8
E 43 14 0
E 43 27 3
E 43 28 5
E 43 34 4
E 43 58 5
E 43 64 9
E 43 65 6
E 43 75 7
E 43 90 5
E 43 96 0
E 44 11 6
E 44 21 0
E 44 25 9
E 44 27 3
E 44 46 6
E 44 67 2
E 44 76 9
E 44 77 8
E 44 96 8
E 45 12 9
E 45 23 3
E 45 25 9
E 45 32 4
E 45 33 4
E 45 40 6
E 45 55 7
E 45 57 5
E 45 61 4
E 45 64 7
E 45 71 7
E 45 75 9
E 46 3 3
E 46 8 7
E 46 12 5
E 46 13 7
E 46 16 1
E 46 17 3
E 46 19 1
E 46 40 7
E 46 41 7
E 46 42 9
E 46 45 6
E 46 47 1
E 46 69 1
E 46 71 1
E 46 72 8
E 46 84 8
E 47 13 0
E 47 37 9
E 47 43 9
E 47 56 2
E 47 57 5
E 47 59 5
E 47 61 9
E 47 63 5
E 47 77 9
E 48 4 3
E 48 36 6
E 48 50 0
E 48 52 7
E 48 59 3
E 48 63 6
E 48 80 3
E 48 83 6
E 48 95 2
E 49 0 2
E 49 3 1
E 49 14 5
E 49 15 3
E 49 20 0
E 49 22 5
E 49 47 7
E 49 48 6
E 49 63 6
E 49 76 8
E 49 94 3
E 50 14 1
E 50 37 7
E 50 47 8
E 50 54 5
E 50 61 7
E 50 65 9
E 50 96 9
E 50 97 2
E 51 3 9
E 51 18 7
E 51 19 8
E 51 21 8
E 51 22 9
E 51 23 4
E 51 25 9
E 51 27 0
E 51 36 0
E 51 43 9
E 51 47 4
E 51 63 2
E 51 74 4
E 51 88 8
E 52 3 2
E 52 8 9
E 52 12 9
E 52 26 6
E 52 28 7
E 52 30 4
E 52 36 2
E 52 45 9
E 52 66 9
E 52 75 1
E 52 86 7
E 52 93 9
E 53 45 2
E 53 64 4
E 53 66 7
E 53 74 2
E 53 84 3
E 53 93 3
E 54 19 0
E 54 26 1
E 54 28 5
E 54 30 9
E 54 36 5
E 54 40 3
E 54 45 3
E 54 49 7
E 54 51 8
E 54 64 2
E 54 75 7
E 54 86 7
E 54 90 5
E 55 16 9
E 55 37 0
E 55 41 3
E 55 45 1
E 55 52 0
E 55 63 3
E 55 70 3
E 56 3 9
E 56 13 3
E 56 40 4
E 57 1 3
E 57 9 7
E 57 20 7
E 57 27 2
E 57 34 4
E 57 45 1
E 57 47 6
E 57 60 2
E 57 70 1
E 57 75 4
E 57 84 1
E 58 6 0
E 58 10 7
E 58 11 5
E 58 14 7
E 58 17 9
E 58 29 6
E 58 42 4
E 58 43 3
E 58 71 2
E 58 73 1
E 58 75 9
E 58 85 3
E 58 94 6
E 58 98 9
E 59 0 9
E 59 5 1
E 59 38 1
E 59 52 7
E 59 53 5
E 59 60 9
E 59 64 7
E 59 68 9
E 59 70 4
E 59 71 5
E 59 76 1
E 60 2 4
E 60 20 3
E 60 52 4
E 60 73 9
E 60 88 2
E 60 97 5
E 61 3 4
E 61 12 0
E 61 19 4
E 61 46 0
E 61 64 0
E 61 70 5
E 61 73 4
E 61 90 1
E 61 92 6
E 62 14 3
E 62 76 8
E 62 88 6
E 62 89 2
E 62 94 0
E 63 0 7
E 63 21 9
E 63 25 0
E 63 39 4
E 63 41 2
E 63 43 0
E 63 46 3
E 63 47 3
E 63 52 1
E 63 57 4
E 63 70 8
E 63 74 0
E 63 91 5
E 63 98 2
E 64 1 6
E 64 4 9
E 64 12 0
E 64 16 5
E 64 28 7
E 64 32 2
E 64 72 5
E 64 75 6
E 64 83 7
E 65 1 2
E 65 19 6
E 65 27 5
E 65 31 7
E 65 34 3
E 65 39 5
E 65 42 7
E 65 50 4
E 65 68 1
E 65 78 2
E 65 83 3
E 65 90 4
E 65 92 9
E 65 94 2
E 66 7 6
E 66 21 3
E 66 56 8
E 66 59 3
E 66 61 0
E 66 63 5
E 66 68 8
E 66 80 4
E 66 84 2
E 66 98 0
E 67 18 9
E 67 31 7
E 67 50 3
E 67 59 1
E 67 63 0
E 67 73 1
E 68 0 3
E 68 11 3
E 68 33 7
E 68 38 3
E 68 39 8
E 68 43 1
E 68 46 7
E 68 58 4
E 68 74 0
E 68 75 2
E 68 93 2
E 69 2 6
E 69 11 6
E 69 14 6
E 69 26 2
E 69 49 6
E 69 51 0
E 69 57 4
E 69 80 5
E 69 86 5
E 69 87 2
E 69 97 0
E 69 98 0
E 70 16 6
E 70 31 9
E 70 54 0
E 70 60 8
E 70 63 5
E 71 6 8
E 71 10 5
E 71 27 0
E 71 32 6
E 71 33 9
E 71 35 7
E 71 49 6
E 71 63 0
E 71 73 1
E 71 78 9
E 72 3 7
E 72 13 2
E 72 18 1
E 72 31 6
E 72 49 7
E 72 86 6
E 72 90 2
E 72 94 6
E 73 22 7
E 73 39 4
E 73 43 9
E 73 70 7
E 73 72 9
E 73 75 6
E 73 88 1
E 73 93 2
E 74 10 7
E 74 14 9
E 74 15 0
E 74 17 0
E 74 43 1
E 74 68 3
E 74 80 2
E 74 81 0
E 74 88 9
E 74 89 2
E 74 90 3
E 74 91 4
E 74 98 6
E 75 9 3
E 75 13 0
E 75 18 6
E 75 20 0
E 75 21 5
E 75 30 9
E 75 36 0
E 75 45 5
E 75 51 2
E 75 52 8
E 75 56 2
E 75 58 9
E 75 64 5
E 75 66 3
E 75 85 1
E 75 89 2
E 75 96 0
E 76 3 3
E 76 8 4
E 76 26 8
E 76 37 2
E 76 46 6
E 76 47 8
E 76 48 5
E 76 49 9
E 76 53 9
E 76 77 7
E 76 96 1
E 77 7 9
E 77 17 8
E 77 29 8
E 77 34 4
E 77 35 3
E 77 42 9
E 77 57 1
E 77 64 2
E 77 71 8
E 77 86 6
E 77 98 8
E 78 10 1
E 78 20 2
E 78 26 6
E 78 46 3
E 78 47 2
E 78 51 8
E 78 58 5
E 78 61 3
E 78 65 5
E 78 66 3
E 78 72 7
E 78 83 0
E 78 84 9
E 78 89 2
E 78 91 0
E 79 1 0
E 79 16 5
E 79 17 2
